specimen_id,memory_margin,planning_margin,communication_margin,routing_margin,verification_margin,frozen_prediction
AC2_00c6988d83c8c617,-2,-2,-3,-2,-2,0
AC2_01e2549294bf75ca,-2,-3,-2,-2,-2,0
AC2_041c1069f88f77a0,2,2,2,3,2,1
AC2_0d0cb34e2c093735,-3,-2,-3,-3,-3,0
AC2_139eb84a85fa5329,3,2,2,2,3,1
AC2_1fb277943b4a9402,-3,-2,-2,-2,-3,0
AC2_25cad989b19b4151,3,3,3,2,2,1
AC2_2ef4bc29c3e9ba2c,-2,-2,-2,-3,-2,0
AC2_319d79aec4b539e1,-3,-3,-2,-2,-2,0
AC2_32397ec69c3c2d19,3,2,3,2,3,1
AC2_35d0696954dd54b3,3,3,3,3,2,1
AC2_3a32bcb08f7804fa,-3,-3,-2,-2,-3,0
AC2_3e395f8ba5d9395f,2,3,2,2,2,1
AC2_3e7f854792c1e851,-3,-2,-3,-2,-3,0
AC2_4458b154acd44794,-2,-3,-3,-2,-3,0
AC2_455f6b2302e99007,3,3,2,3,3,1
AC2_4931dde8a03fee8f,3,2,3,3,3,1
AC2_4cd3646543143819,-3,-2,-3,-3,-2,0
AC2_51963a97a56bd0bc,2,2,2,2,2,1
AC2_548b7481f6cd72ab,-2,-3,-3,-2,-2,0
AC2_5b9cc82307cc3a20,3,3,3,3,3,1
AC2_679eb114ce1622c7,2,3,3,3,2,1
AC2_67f5f81975e82108,-3,-2,-2,-3,-3,0
AC2_6becfeb795827165,-3,-2,-2,-2,-2,0
AC2_6cf434ef0470b1ab,3,2,2,3,2,1
AC2_6d57e4b9fec625b7,-2,-2,-3,-3,-2,0
AC2_6e25d4f1081d5a17,2,3,2,2,3,1
AC2_6ef40c70c34523e3,-2,-3,-3,-3,-2,0
AC2_70d2b636527a04d9,-3,-2,-3,-2,-2,0
AC2_75a0e6a8f3f6d94b,3,2,3,2,2,1
AC2_776adcc906d0bb51,-2,-2,-2,-3,-3,0
AC2_7ee34293d4655d1e,2,3,2,3,3,1
AC2_80526820f33f7320,-2,-3,-2,-2,-3,0
AC2_83a81fbc39854943,-2,-3,-3,-3,-3,0
AC2_8e3f4143dd273133,-3,-3,-3,-3,-2,0
AC2_94a440b86fa31c53,-2,-3,-2,-3,-2,0
AC2_94d9b16b59e821da,-3,-3,-2,-3,-2,0
AC2_96f05960711b2c3b,3,2,2,3,3,1
AC2_97c32ecd85039bfb,3,3,2,3,2,1
AC2_994ee41b36c5f059,-3,-3,-2,-3,-3,0
AC2_9abe407659d4e168,-3,-3,-3,-2,-3,0
AC2_9c36bb75dafb2090,2,2,3,2,3,1
AC2_a4e0d472c2a1cffc,2,3,3,3,3,1
AC2_ae4c9094639771eb,3,3,2,2,3,1
AC2_b35c31b56398179e,-2,-3,-2,-3,-3,0
AC2_bc9b6731456177d5,3,3,3,2,3,1
AC2_c4212266026489d5,-2,-2,-2,-2,-2,0
AC2_c6b0546d96b87235,2,2,3,3,3,1
AC2_c708dddd9fa3ce6c,-2,-2,-3,-2,-3,0
AC2_c78d87efd7849cc9,2,2,3,2,2,1
AC2_cec073882e01b173,-2,-2,-3,-3,-3,0
AC2_d43a788175d61071,2,3,3,2,2,1
AC2_d4d17921826f5cec,-2,-2,-2,-2,-3,0
AC2_d888a75a3c453ae0,2,2,2,2,3,1
AC2_d9bbe7ad9f4ff8b1,2,2,3,3,2,1
AC2_dadf7ba10c21a114,2,3,3,2,3,1
AC2_dbd4d57d2c385fa3,-3,-3,-3,-3,-3,0
AC2_df1a4dc5c6382853,3,2,2,2,2,1
AC2_e53f4c8d6607be9e,3,2,3,3,2,1
AC2_e78a24dbaf212343,3,3,2,2,2,1
AC2_eb74fb6809790739,-3,-3,-3,-2,-2,0
AC2_f2b6004f03bc7f45,2,2,2,3,3,1
AC2_fcd38433a773e676,2,3,2,3,2,1
AC2_fe2883d9a886a954,-3,-2,-2,-3,-2,0
